976,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,49B7513E-EFD3-40CE-AB3A-2DC4A95BCDF7
977,NULL,"Cancun, Mexico (CUN) "," 6:40 AM","Mexico City, Mexico (MEX)"," 8:15 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,49B7513E-EFD3-40CE-AB3A-2DC4A95BCDF7
978,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,49B7513E-EFD3-40CE-AB3A-2DC4A95BCDF7
979,NULL,"Cincinnati, OH (CVG) "," 12:55 PM","Atlanta, GA (ATL)"," 2:22 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,49B7513E-EFD3-40CE-AB3A-2DC4A95BCDF7
980,NULL,"Detroit, MI (DTW) "," 9:00 AM","Cincinnati, OH (CVG)"," 10:08 AM",Aircraft: Canadair 900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,49B7513E-EFD3-40CE-AB3A-2DC4A95BCDF7
981,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,F7D222C4-3F6E-4142-B72E-67E8FDE521C0
982,NULL,"Cancun, Mexico (CUN) "," 7:40 AM","Mexico City, Mexico (MEX)"," 9:10 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,F7D222C4-3F6E-4142-B72E-67E8FDE521C0
983,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,F7D222C4-3F6E-4142-B72E-67E8FDE521C0
984,NULL,"Cincinnati, OH (CVG) "," 12:55 PM","Atlanta, GA (ATL)"," 2:22 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,F7D222C4-3F6E-4142-B72E-67E8FDE521C0
985,NULL,"Detroit, MI (DTW) "," 9:00 AM","Cincinnati, OH (CVG)"," 10:08 AM",Aircraft: Canadair 900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,F7D222C4-3F6E-4142-B72E-67E8FDE521C0
986,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,4CF6D8F7-2F11-4013-8C58-E78DD9378A53
987,NULL,"Cancun, Mexico (CUN) "," 10:20 AM","Mexico City, Mexico (MEX)"," 11:40 AM",Aircraft: Embraer 190,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,4CF6D8F7-2F11-4013-8C58-E78DD9378A53
988,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,4CF6D8F7-2F11-4013-8C58-E78DD9378A53
989,NULL,"Cincinnati, OH (CVG) "," 12:55 PM","Atlanta, GA (ATL)"," 2:22 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,4CF6D8F7-2F11-4013-8C58-E78DD9378A53
990,NULL,"Detroit, MI (DTW) "," 9:00 AM","Cincinnati, OH (CVG)"," 10:08 AM",Aircraft: Canadair 900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,4CF6D8F7-2F11-4013-8C58-E78DD9378A53
991,Delta Airlines,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,CB3176DB-5271-4525-9BC8-7AF9D39225BF
992,Delta Airlines,"Cancun, Mexico (CUN) "," 10:50 AM","Mexico City, Mexico (MEX)"," 12:20 PM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,CB3176DB-5271-4525-9BC8-7AF9D39225BF
